    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.35s
     Running `target/debug/user-auth-plugin`
[2025-12-10 00:05:24.910 INFO] 🟢 Logging initialized successfully
[2025-12-10 00:05:24.910 INFO] Connecting to Postgres at 127.0.0.1:5432/user_auth_plugin_dev
[2025-12-10 00:05:24.976 INFO] ✅ Postgres connected successfully
[2025-12-10 00:05:24.976 INFO] 🚀 Actix server running on http://0.0.0.0:5500
[2025-12-10 00:05:24.976 INFO] starting 12 workers
[2025-12-10 00:05:24.977 INFO] Actix runtime found; starting in Actix runtime
[2025-12-10 00:05:24.977 INFO] starting service: "actix-web-service-0.0.0.0:5500", workers: 12, listening on: 0.0.0.0:5500
[2025-12-10 00:09:51.181 INFO] [401] POST /api/auth/register | 127.0.0.1 | 87.387µs
[2025-12-10 00:09:51.283 INFO] [401] POST /api/auth/login | 127.0.0.1 | 87.937µs
[2025-12-10 00:10:26.422 INFO] [200] POST /api/auth/register | 127.0.0.1 | 877.334796ms
[2025-12-10 00:10:26.528 INFO] [400] POST /api/auth/register | 127.0.0.1 | 4.344788ms
[2025-12-10 00:10:27.424 INFO] [400] POST /api/auth/register | 127.0.0.1 | 794.303301ms
[2025-12-10 00:10:27.526 INFO] [422] POST /api/auth/register | 127.0.0.1 | 233.91µs
[2025-12-10 00:10:27.629 INFO] [400] POST /api/auth/register | 127.0.0.1 | 175.273µs
[2025-12-10 00:10:27.731 INFO] [422] POST /api/auth/register | 127.0.0.1 | 190.891µs
[2025-12-10 00:10:27.833 INFO] [401] POST /api/auth/register | 127.0.0.1 | 84.7µs
[2025-12-10 00:10:30.664 INFO] [200] POST /api/auth/register | 127.0.0.1 | 808.457129ms
[2025-12-10 00:10:31.553 INFO] [200] POST /api/auth/login | 127.0.0.1 | 787.771612ms
[2025-12-10 00:10:32.450 INFO] [200] POST /api/auth/login | 127.0.0.1 | 794.538143ms
[2025-12-10 00:10:33.336 INFO] [401] POST /api/auth/login | 127.0.0.1 | 784.166604ms
[2025-12-10 00:10:33.440 INFO] [401] POST /api/auth/login | 127.0.0.1 | 2.736203ms
[2025-12-10 00:10:33.542 INFO] [400] POST /api/auth/login | 127.0.0.1 | 192.929µs
[2025-12-10 00:10:33.647 INFO] [401] POST /api/auth/login | 127.0.0.1 | 2.823497ms
[2025-12-10 00:10:33.749 INFO] [401] POST /api/auth/login | 127.0.0.1 | 83.155µs
[2025-12-10 00:10:35.656 INFO] [200] POST /api/auth/register | 127.0.0.1 | 869.977705ms
[2025-12-10 00:10:36.537 INFO] [200] POST /api/auth/login | 127.0.0.1 | 779.124066ms
[2025-12-10 00:10:36.642 INFO] [200] POST /auth/logout | 127.0.0.1 | 3.117646ms
[2025-12-10 00:10:36.744 INFO] [401] POST /auth/logout | 127.0.0.1 | 71.206µs
[2025-12-10 00:10:36.846 INFO] [401] POST /auth/logout | 127.0.0.1 | 158.244µs
[2025-12-10 00:10:36.951 INFO] [200] POST /auth/logout | 127.0.0.1 | 3.096754ms
[2025-12-10 00:10:39.004 INFO] [200] POST /api/auth/register | 127.0.0.1 | 904.601063ms
[2025-12-10 00:10:40.083 INFO] [200] POST /api/auth/login | 127.0.0.1 | 976.942608ms
[2025-12-10 00:10:40.186 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 103.53µs
[2025-12-10 00:10:40.288 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 123.337µs
[2025-12-10 00:10:40.390 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 127.38µs
[2025-12-10 00:10:40.492 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 102.015µs
[2025-12-10 00:10:41.293 INFO] [401] POST /api/auth/register | 127.0.0.1 | 109.851µs
[2025-12-10 00:10:41.395 INFO] [401] POST /api/auth/login | 127.0.0.1 | 150.622µs
[2025-12-10 00:10:41.497 INFO] [401] POST /auth/verify | 127.0.0.1 | 139.364µs
[2025-12-10 00:10:42.445 INFO] [401] POST /api/auth/register | 127.0.0.1 | 85.526µs
[2025-12-10 00:10:42.547 INFO] [401] POST /api/auth/login | 127.0.0.1 | 89.024µs
[2025-12-10 00:10:42.649 INFO] [401] GET /users | 127.0.0.1 | 145.042µs
[2025-12-10 00:10:44.549 INFO] [401] POST /api/auth/register | 127.0.0.1 | 99.97µs
[2025-12-10 00:10:44.652 INFO] [401] POST /api/auth/register | 127.0.0.1 | 104.291µs
[2025-12-10 00:10:44.754 INFO] [401] POST /api/auth/register | 127.0.0.1 | 114.412µs
[2025-12-10 00:10:44.856 INFO] [401] POST /api/auth/login | 127.0.0.1 | 111.221µs
[2025-12-10 00:10:44.958 INFO] [401] GET /users/all | 127.0.0.1 | 118.575µs
[2025-12-10 00:10:45.874 INFO] [401] POST /api/auth/register | 127.0.0.1 | 89.076µs
[2025-12-10 00:10:45.976 INFO] [401] POST /api/auth/register | 127.0.0.1 | 91.562µs
[2025-12-10 00:10:46.078 INFO] [401] POST /api/auth/login | 127.0.0.1 | 112.353µs
[2025-12-10 00:10:46.180 INFO] [401] PUT /users | 127.0.0.1 | 201.745µs
[2025-12-10 00:10:46.809 INFO] [401] POST /api/auth/register | 127.0.0.1 | 109.009µs
[2025-12-10 00:10:46.911 INFO] [401] POST /api/auth/login | 127.0.0.1 | 84.312µs
[2025-12-10 00:10:47.013 INFO] [401] DELETE /users | 127.0.0.1 | 145.399µs
[2025-12-10 00:10:47.720 INFO] [401] POST /api/auth/register | 127.0.0.1 | 126.065µs
[2025-12-10 00:10:47.822 INFO] [401] POST /api/auth/login | 127.0.0.1 | 98.005µs
[2025-12-10 00:10:47.925 INFO] [401] PUT /users/details | 127.0.0.1 | 146.241µs
[2025-12-10 00:10:48.887 INFO] [401] POST /api/auth/register | 127.0.0.1 | 87.191µs
[2025-12-10 00:10:48.990 INFO] [401] POST /api/auth/login | 127.0.0.1 | 89.283µs
[2025-12-10 00:10:49.115 INFO] [401] PATCH /users/uploads | 127.0.0.1 | 139.488µs
[2025-12-10 00:12:29.991 INFO] [200] POST /api/auth/register | 127.0.0.1 | 931.881488ms
[2025-12-10 00:12:30.099 INFO] [400] POST /api/auth/register | 127.0.0.1 | 5.149008ms
[2025-12-10 00:12:31.033 INFO] [400] POST /api/auth/register | 127.0.0.1 | 831.962214ms
[2025-12-10 00:12:31.135 INFO] [422] POST /api/auth/register | 127.0.0.1 | 237.388µs
[2025-12-10 00:12:31.237 INFO] [400] POST /api/auth/register | 127.0.0.1 | 183.595µs
[2025-12-10 00:12:31.339 INFO] [422] POST /api/auth/register | 127.0.0.1 | 233.055µs
[2025-12-10 00:12:31.441 INFO] [401] POST /api/auth/register | 127.0.0.1 | 74.724µs
[2025-12-10 00:12:32.949 INFO] [200] POST /api/auth/register | 127.0.0.1 | 812.445109ms
[2025-12-10 00:12:33.841 INFO] [200] POST /api/auth/login | 127.0.0.1 | 789.719033ms
[2025-12-10 00:12:34.734 INFO] [200] POST /api/auth/login | 127.0.0.1 | 790.315144ms
[2025-12-10 00:12:35.627 INFO] [401] POST /api/auth/login | 127.0.0.1 | 791.701548ms
[2025-12-10 00:12:35.731 INFO] [401] POST /api/auth/login | 127.0.0.1 | 2.301745ms
[2025-12-10 00:12:35.833 INFO] [400] POST /api/auth/login | 127.0.0.1 | 211.939µs
[2025-12-10 00:12:35.937 INFO] [401] POST /api/auth/login | 127.0.0.1 | 2.16516ms
[2025-12-10 00:12:36.039 INFO] [401] POST /api/auth/login | 127.0.0.1 | 74.512µs
[2025-12-10 00:12:37.604 INFO] [200] POST /api/auth/register | 127.0.0.1 | 861.739758ms
